"Table 1-Level 3 ID","SPL3 reference ID","SPL3 ConOps Reference","SPL3 Level (L3/L4)"
"3.1.1-F2","195","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","196","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","197","Sec 2.1.2, 5.1","L4"
"1.1.1-F2","198","Sec 2.1.2, 2.2","L4"
"3.1.1-F2","199","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","200","Sec 2.1.2, 5.1","L4"
"3.1.1-F3","201","Sec 2.1.2","L4"
"3.1.1-F2","202","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","203","Sec 2.1.2, 5.1","L4"
"3.1.1-F2","204","Sec 2.1.2, 5.1","L4"
"3.1.1-S2","205","Sec 4.1","L3"
"3.1.1-F12","206","Sec 2.1.2","L4"
"3.1.1-F13","207","Sec 2.2.1","L4"
"3.1.1-F2","208","Sec 2.1.2, 5.1","L4"
"3.1.1-S3","209","Sec 2.2.1","L3"
"3.1.1-N5","210","Sec 2.1, 4.1","L4"
"3.1.1-N5","211","Sec 2.1, 4.1","L4"
"3.1.1-N5","212","Sec 2.1, 4.1","L4"
"3.1.1-F1","213","Sec 2.1.1","L4"
"2.1.2-F1","214","Sec 2.1.2","L4"
"3.1.1-F5","215","Sec 2.1.2","L4"
"3.1.1-P2","216","Sec 1.2, 5.2.2","L4"
"3.1.1-N5","217","Sec 2.1, 4.1","L4"
"2.1.2-F3","218","Sec 3.3.3","L4"
"2.1.2-F3","219","Sec 3.3.3","L4"
"3.1.1-N5","220","Sec 2.1, 4.1","L4"
"2.1.2-F3","221","Sec 3.3.3","L4"
"2.1.2-F3","222","Sec 3.3.3","L4"
"3.1.1-F5","223","Sec 2.1.2","L4"
"3.1.1-F5","224","Sec 2.1.2","L4"
"3.1.1-F2","225","Sec 2.1.2, 5.1","L4"
"3.1.1-S2","226","Sec 4.1","L3"
"3.1.1-F1","227","Sec 2.1.1","L4"
"3.1.1-F3","228","Sec 2.1.2","L4"
"3.1.1-P3","229","Sec 4.5","L4"
"3.1.1-P4","230","Sec 4.5","L4"
"2.1.2-F3","231","Sec 3.3.3","L4"
"2.1.2-F3","232","Sec 3.3.3","L4"
"2.1.2-F1","233","Sec 2.1.2","L4"
"3.1.1-F6","234","Sec 2.1.2","L4"
"2.1.2-F2","235","Sec 3.3.3","L4"
"3.1.1-N5","236","Sec 2.1, 4.1","L4"
"3.1.1-S4","238","Sec 2.1.2","L3"
"3.1.1-S4","239","Sec 2.1.2","L3"
"3.1.1-S3","240","Sec 2.2.1","L3"
"3.1.1-S3","241","Sec 2.2.1","L3"
